x1,y1,x2,y2,x3,y3,x4,y4
342.829,384.614,923.479,291.459,805.567,225.575,681.106,280.663
342.425,384.86,924.132,291.129,805.869,221.234,681.472,281.387
343.26,384.392,924.05,290.802,806.627,217.08,682.23,282.216
343.167,384.928,924.65,290.514,806.436,215.903,682.617,283.06
343.484,385.03,924.692,290.096,806.574,214.784,683.254,283.923
343.987,385.419,925.095,289.965,807.116,213.168,684.136,284.359
345.17,385.563,925.539,289.701,807.097,212.994,684.754,285.105
345.656,385.695,925.993,289.015,808.18,210.256,685.178,285.947
346.369,385.963,926.413,289.152,808.329,207.039,686.011,286.683
347.235,386.331,927.044,287.844,806.746,206.992,690.05,285.577
349.171,386.564,927.223,288.246,805.419,207.516,691.313,285.904
351.07,386.42,927.842,287.013,803.602,208.204,693.102,285.271
353.059,386.425,928.634,286.817,799.027,209.158,693.513,285.546
354.817,386.282,929.368,286.504,795.245,210.293,694.921,285.326
356.138,386.2,930.162,285.66,789.712,211.86,697.056,285.073
356.587,386.396,930.664,284.261,783.026,213.917,700.062,284.538
357.21,386.51,930.459,282.823,777.722,215.523,702.586,284.159
357.474,386.615,930.34,281.609,772.365,217.263,704.988,283.978
357.498,386.905,929.981,280.175,765.604,218.947,709.289,283.066
358.394,386.763,929.921,278.882,760.216,220.458,711.973,282.821
359.122,386.879,929.935,278.019,754.479,222.026,715.55,282.443
360.285,387.281,930.076,276.45,746.949,223.768,719.511,282.128
363.073,387.215,930.069,275.49,739.226,225.646,723.733,281.672
365.527,387.409,930.189,274.169,731.03,227.597,727.476,281.53
367.661,387.595,929.909,272.945,722.659,229.664,730.684,281.517
369.35,387.872,929.924,272.115,715.208,231.819,734.306,281.346
372.391,387.674,929.716,270.725,707.5,234.002,738.992,280.689
373.533,387.602,929.683,269.92,700.144,236.302,744.353,279.908
375.576,387.542,929.398,268.688,692.787,238.657,749.284,279.299
377.258,387.573,928.635,266.897,686.068,240.689,754.699,278.627
378.645,387.63,927.038,264.557,678.54,243.113,759.99,278.139
379.691,387.94,924.925,262.648,672.329,245.154,764.904,277.77
382.397,387.848,923.921,261.711,666.37,247.099,769.544,277.127
384.39,387.923,923.354,260.909,659.116,249.061,773.773,277.219
385.911,388.036,921.7,259.791,653.199,251.027,777.857,277.559
388.481,388.003,920.515,258.546,647.571,252.821,781.748,276.829
391.317,387.698,918.466,256.989,640.557,254.774,784.05,275.487
393.155,387.701,916.53,255.693,634.891,256.535,786.832,272.866
395.183,387.779,913.933,253.971,630.034,258.032,789.544,269.518
397.114,387.79,912.107,252.859,624.153,259.738,791.02,266.115
398.572,387.977,909.551,251.355,618.585,261.34,791.977,264.257
401.3,387.843,907.374,249.933,613.289,263.013,792.671,261.443
403.834,387.744,904.386,248.339,607.327,264.723,793.087,258.707
405.982,387.619,902.633,247.254,602.772,265.849,793.319,255.873
407.938,387.482,899.907,245.53,597.695,267.016,793.357,253.583
409.479,387.602,897.853,244.45,591.946,267.926,793.44,252.916
411.426,387.443,895.879,243.275,587.35,268.749,793.369,250.893
